Rank,"Full Name","Team Abbrev",Position,"Auction Value","Fantasy Points Per Game","Projected Fantasy Points","Positional Rank",ADP,"ADP Trend"
1,"Jahmyr Gibbs",DET,RB,65,21.6,326.6,1,-,-
2,"Bijan Robinson",ATL,RB,64,21.8,340.8,2,-,-
3,"Puka Nacua",LAR,WR,62,23.4,308.0,1,-,-
4,"Christian McCaffrey",SF,RB,60,24.5,312.0,3,-,-
5,"Jaxon Smith-Njigba",SEA,WR,59,21.2,294.5,2,-,-
6,"Ja'Marr Chase",CIN,WR,57,19.6,285.8,3,-,-
7,"Amon-Ra St. Brown",DET,WR,55,19.1,244.2,4,-,-
8,"Jonathan Taylor",IND,RB,54,21.3,287.7,4,-,-
9,"CeeDee Lamb",DAL,WR,52,14.4,255.4,5,-,-
10,"James Cook",BUF,RB,51,17.8,281.6,5,-,-
11,"Chase Brown",CIN,RB,50,16.6,252.6,6,-,-
12,"Saquon Barkley",PHI,RB,48,14.5,257.7,7,-,-
13,"George Pickens",DAL,WR,47,17.2,237.1,6,-,-
14,"A.J. Brown",NE,WR,46,14.7,224.6,7,-,-
15,"De'Von Achane",MIA,RB,44,20.2,263.4,8,-,-
16,"Justin Jefferson",MIN,WR,43,11.9,218.4,8,-,-
17,"Nico Collins",HOU,WR,42,15.1,224.7,9,-,-
18,"Omarion Hampton",LAC,RB,41,15.1,233.1,9,-,-
19,"Derrick Henry",BAL,RB,40,16.4,247.3,10,-,-
20,"Chris Olave",NO,WR,39,16.8,216.5,10,-,-
21,"Drake London",ATL,WR,38,16.8,201.5,11,-,-
22,"Kenneth Walker",KC,RB,37,11.3,230.0,11,-,-
23,"Brock Bowers",LV,TE,36,14.7,184.0,1,-,-
24,"Ashton Jeanty",LV,RB,35,14.4,213.0,12,-,-
25,"Zay Flowers",BAL,WR,34,14.3,206.5,12,-,-
26,"Malik Nabers",NYG,WR,33,14.3,170.4,13,-,-
27,"Tee Higgins",CIN,WR,32,14.1,210.5,14,-,-
28,"Javonte Williams",DAL,RB,31,15.2,216.2,13,-,-
29,"Rashee Rice",KC,WR,30,18.8,209.0,15,-,-
30,"Travis Etienne",NO,RB,29,14.9,202.8,14,-,-
31,"Garrett Wilson",NYJ,WR,28,14.2,205.5,16,-,-
32,"Trey McBride",ARI,TE,28,18.6,186.0,2,-,-
33,"D'Andre Swift",CHI,RB,27,14.3,200.6,15,-,-
34,"DeVonta Smith",PHI,WR,26,11.9,189.2,17,-,-
35,"Kyren Williams",LAR,RB,25,15.5,204.5,16,-,-
36,"Josh Allen",BUF,QB,25,22.0,364.3,1,-,-
37,"Terry McLaurin",WAS,WR,24,11.4,194.7,18,-,-
38,"Breece Hall",NYJ,RB,23,13.0,195.4,17,-,-
39,"Cam Skattebo",NYG,RB,23,16.0,195.9,18,-,-
40,"Tetairoa McMillan",CAR,WR,22,12.4,188.5,19,-,-
41,"David Montgomery",HOU,RB,22,9.8,196.5,19,-,-
42,"Jeremiyah Love",ARI,RB,21,-,149.8,20,-,-
43,"Ladd McConkey",LAC,WR,20,11.3,187.6,20,-,-
44,"Jaylen Waddle",DEN,WR,20,12.1,180.2,21,-,-
