rank,tier,name,pos,team
1,1,Ja'Marr Chase,WR,CIN
2,1,Bijan Robinson,RB,ATL
3,1,Justin Jefferson,WR,MIN
4,1,Saquon Barkley,RB,PHI
5,2,CeeDee Lamb,WR,DAL
6,2,Jahmyr Gibbs,RB,DET
7,2,Amon-Ra St. Brown,WR,DET
8,2,Puka Nacua,WR,LAR
9,2,Malik Nabers,WR,NYG
10,2,De'Von Achane,RB,MIA
11,3,Nico Collins,WR,HOU
12,3,Brian Thomas Jr.,WR,JAX
13,3,Ashton Jeanty,RB,LV
14,3,Christian McCaffrey,RB,SF
15,3,Drake London,WR,ATL
16,3,Brock Bowers,TE,LV
17,3,A.J. Brown,WR,PHI
18,4,Josh Jacobs,RB,GB
19,4,Derrick Henry,RB,BAL
20,4,Trey McBride,TE,ARI
21,4,Josh Allen,QB,BUF
22,4,Lamar Jackson,QB,BAL
23,4,Ladd McConkey,WR,LAC
24,4,Jaxon Smith-Njigba,WR,SEA
25,4,Bucky Irving,RB,TB
